episod,outcome,reward_total,time_s,kills,damage_taken,buff_count,boss_reached,boss_hp_min,level,hp_remaining,gems,camera_maxima,scene_path
198,fail,-509.7,9.7,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
199,fail,-510.6,10.6,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
200,fail,-533.9,33.9,8,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
201,fail,-514.7,14.7,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
202,fail,-509.1,9.1,0,7,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
203,fail,-518.7,18.7,7,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
204,fail,-511.3,11.3,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
205,fail,-509.0,9.0,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
206,fail,-534.6,34.6,7,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
207,fail,-518.2,18.2,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
208,fail,-517.5,17.5,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
209,fail,-509.8,9.8,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
210,fail,-518.2,18.2,1,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
211,fail,-522.4,22.4,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
212,fail,-512.6,12.6,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
213,fail,-511.7,11.7,2,6,0,0,-1,1,0,4,A1 Goblini,res://Levels/Area01/01.tscn
214,fail,-513.1,13.1,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
215,fail,-510.4,10.4,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
216,fail,-515.9,15.9,7,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
217,fail,-566.3,66.3,5,7,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
218,fail,-514.8,14.8,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
219,fail,-512.5,12.5,6,7,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
220,fail,-527.9,27.9,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
221,fail,-512.8,12.8,2,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
222,fail,-511.0,11.0,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
223,fail,-531.7,31.7,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
224,fail,-521.6,21.6,1,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
225,fail,-509.9,9.9,7,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
226,fail,-522.1,22.1,1,7,0,0,-1,2,0,3,A1 Goblini,res://Levels/Area01/01.tscn
227,fail,-514.1,14.1,3,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
228,fail,-512.9,12.9,0,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
229,fail,-520.2,20.2,6,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
230,fail,-511.3,11.3,3,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
231,fail,-513.6,13.6,4,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
232,fail,-528.6,28.6,4,7,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
233,fail,-522.0,22.0,0,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
234,fail,-546.9,46.9,1,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
235,fail,-510.9,10.9,7,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
236,fail,-521.5,21.5,6,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
237,fail,-561.5,61.5,7,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
238,fail,-513.3,13.3,7,6,0,0,-1,2,0,1,A1 Goblini,res://Levels/Area01/01.tscn
239,fail,-512.0,12.0,5,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
240,fail,-520.1,20.1,0,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
241,fail,-510.2,10.2,0,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
242,fail,-588.3,88.3,8,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
243,fail,-514.2,14.2,0,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
244,fail,-509.9,9.9,6,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
245,fail,-511.7,11.7,4,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
246,fail,-517.6,17.6,0,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
247,fail,-560.7,60.7,5,6,0,0,-1,2,0,0,A1 Goblini,res://Levels/Area01/01.tscn
